↓↓↓↓↓        TEST1        ↓↓↓↓↓ −− >NOTFOUND

Amott Quality Meats --> Census year: 2018 || Block ID: 113 || Property ID: 110689 || Base property ID: 108118 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 4121 || Industry (ANZSIC4) description: Fresh Meat, Fish and Poultry Retailing || x coordinate: 144.95767 || y coordinate: -37.80762 || Location: (-37.80762482, 144.9576703) || 
Vacant --> Census year: 2018 || Block ID: 1 || Property ID: 108843 || Base property ID: 108843 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.95753 || y coordinate: -37.82111 || Location: (-37.82111358, 144.9575337) || 
Vacant --> Census year: 2018 || Block ID: 1 || Property ID: 108843 || Base property ID: 108843 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.95753 || y coordinate: -37.82111 || Location: (-37.82111358, 144.9575337) || 
Vacant --> Census year: 2018 || Block ID: 1 || Property ID: 108843 || Base property ID: 108843 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.95753 || y coordinate: -37.82111 || Location: (-37.82111358, 144.9575337) || 
Vacant --> Census year: 2018 || Block ID: 1 || Property ID: 108843 || Base property ID: 108843 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.95753 || y coordinate: -37.82111 || Location: (-37.82111358, 144.9575337) || 
Vacant --> Census year: 2018 || Block ID: 1 || Property ID: 108843 || Base property ID: 108843 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.95753 || y coordinate: -37.82111 || Location: (-37.82111358, 144.9575337) || 
Vacant --> Census year: 2018 || Block ID: 1 || Property ID: 108843 || Base property ID: 108843 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.95753 || y coordinate: -37.82111 || Location: (-37.82111358, 144.9575337) || 
Vacant --> Census year: 2018 || Block ID: 1 || Property ID: 108843 || Base property ID: 108843 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.95753 || y coordinate: -37.82111 || Location: (-37.82111358, 144.9575337) || 
Vacant --> Census year: 2018 || Block ID: 26 || Property ID: 109418 || Base property ID: 109418 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96743 || y coordinate: -37.81584 || Location: (-37.81583755, 144.9674252) || 
Vacant --> Census year: 2018 || Block ID: 74 || Property ID: 108094 || Base property ID: 108094 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.95982 || y coordinate: -37.81208 || Location: (-37.81207875, 144.959821) || 
Vacant --> Census year: 2018 || Block ID: 16 || Property ID: 104018 || Base property ID: 104018 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96854 || y coordinate: -37.8166 || Location: (-37.81660267, 144.9685353) || 
Vacant --> Census year: 2018 || Block ID: 24 || Property ID: 102089 || Base property ID: 102089 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96327 || y coordinate: -37.81706 || Location: (-37.81705701, 144.9632686) || 
Vacant --> Census year: 2018 || Block ID: 24 || Property ID: 110762 || Base property ID: 110762 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96382 || y coordinate: -37.81663 || Location: (-37.81662772, 144.9638218) || 
Vacant --> Census year: 2018 || Block ID: 24 || Property ID: 110762 || Base property ID: 110762 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96382 || y coordinate: -37.81663 || Location: (-37.81662772, 144.9638218) || 
Vacant --> Census year: 2018 || Block ID: 24 || Property ID: 108113 || Base property ID: 108113 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96219 || y coordinate: -37.81759 || Location: (-37.81758586, 144.9621886) || 
Vacant --> Census year: 2018 || Block ID: 26 || Property ID: 102073 || Base property ID: 102073 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96876 || y coordinate: -37.81545 || Location: (-37.81545003, 144.9687615) || 
Vacant --> Census year: 2018 || Block ID: 34 || Property ID: 102135 || Base property ID: 102135 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96269 || y coordinate: -37.81602 || Location: (-37.81601818, 144.9626888) || 
Vacant --> Census year: 2018 || Block ID: 14 || Property ID: 103952 || Base property ID: 103952 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96286 || y coordinate: -37.81788 || Location: (-37.81788494, 144.9628577) || 
Vacant --> Census year: 2018 || Block ID: 85 || Property ID: 103311 || Base property ID: 103311 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96207 || y coordinate: -37.81088 || Location: (-37.81087815, 144.9620685) || 
Vacant --> Census year: 2018 || Block ID: 24 || Property ID: 102089 || Base property ID: 102089 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96327 || y coordinate: -37.81706 || Location: (-37.81705701, 144.9632686) || 
Vacant --> Census year: 2018 || Block ID: 24 || Property ID: 102089 || Base property ID: 102089 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96327 || y coordinate: -37.81706 || Location: (-37.81705701, 144.9632686) || 
Vacant --> Census year: 2018 || Block ID: 24 || Property ID: 102093 || Base property ID: 102093 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.962 || y coordinate: -37.81716 || Location: (-37.81715744, 144.962001) || 
Vacant --> Census year: 2018 || Block ID: 35 || Property ID: 102145 || Base property ID: 102145 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96541 || y coordinate: -37.81548 || Location: (-37.81548376, 144.9654066) || 
Vacant --> Census year: 2018 || Block ID: 35 || Property ID: 103320 || Base property ID: 103320 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96402 || y coordinate: -37.81544 || Location: (-37.81544356, 144.9640202) || 
Vacant --> Census year: 2018 || Block ID: 35 || Property ID: 109271 || Base property ID: 109271 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.9658 || y coordinate: -37.81472 || Location: (-37.81472249, 144.9658025) || 
Vacant --> Census year: 2018 || Block ID: 46 || Property ID: 105964 || Base property ID: 105964 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96758 || y coordinate: -37.81391 || Location: (-37.81390784, 144.9675812) || 
Vacant --> Census year: 2018 || Block ID: 35 || Property ID: 102141 || Base property ID: 102141 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96437 || y coordinate: -37.81553 || Location: (-37.8155277, 144.9643732) || 
Vacant --> Census year: 2018 || Block ID: 15 || Property ID: 103328 || Base property ID: 103328 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96509 || y coordinate: -37.81765 || Location: (-37.81764679, 144.9650858) || 
Vacant --> Census year: 2018 || Block ID: 15 || Property ID: 109263 || Base property ID: 109263 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.9667 || y coordinate: -37.81674 || Location: (-37.81674246, 144.966704) || 
Vacant --> Census year: 2018 || Block ID: 15 || Property ID: 109263 || Base property ID: 109263 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.9667 || y coordinate: -37.81674 || Location: (-37.81674246, 144.966704) || 
Vacant --> Census year: 2018 || Block ID: 15 || Property ID: 109263 || Base property ID: 109263 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.9667 || y coordinate: -37.81674 || Location: (-37.81674246, 144.966704) || 
Vacant --> Census year: 2018 || Block ID: 44 || Property ID: 106375 || Base property ID: 106375 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.9619 || y coordinate: -37.81533 || Location: (-37.81533114, 144.9619028) || 
Vacant --> Census year: 2018 || Block ID: 44 || Property ID: 108111 || Base property ID: 108111 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.9613 || y coordinate: -37.81565 || Location: (-37.81565407, 144.9612981) || 
Vacant --> Census year: 2018 || Block ID: 35 || Property ID: 103322 || Base property ID: 103322 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96417 || y coordinate: -37.81573 || Location: (-37.8157323, 144.9641735) || 
Vacant --> Census year: 2018 || Block ID: 44 || Property ID: 108110 || Base property ID: 108110 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96118 || y coordinate: -37.81538 || Location: (-37.81537944, 144.9611759) || 
Vacant --> Census year: 2018 || Block ID: 45 || Property ID: 105961 || Base property ID: 105961 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96435 || y coordinate: -37.81474 || Location: (-37.81473585, 144.9643479) || 
Vacant --> Census year: 2018 || Block ID: 54 || Property ID: 105849 || Base property ID: 105849 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96146 || y coordinate: -37.81378 || Location: (-37.81377592, 144.9614628) || 
Vacant --> Census year: 2018 || Block ID: 54 || Property ID: 108106 || Base property ID: 108106 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96077 || y coordinate: -37.81429 || Location: (-37.81429358, 144.9607704) || 
Vacant --> Census year: 2018 || Block ID: 56 || Property ID: 101204 || Base property ID: 101204 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96726 || y coordinate: -37.81244 || Location: (-37.81244193, 144.9672613) || 
Vacant --> Census year: 2018 || Block ID: 15 || Property ID: 103326 || Base property ID: 103326 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96494 || y coordinate: -37.81719 || Location: (-37.81718671, 144.9649355) || 
Vacant --> Census year: 2018 || Block ID: 15 || Property ID: 109263 || Base property ID: 109263 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.9667 || y coordinate: -37.81674 || Location: (-37.81674246, 144.966704) || 
Vacant --> Census year: 2018 || Block ID: 15 || Property ID: 109263 || Base property ID: 109263 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.9667 || y coordinate: -37.81674 || Location: (-37.81674246, 144.966704) || 
Vacant --> Census year: 2018 || Block ID: 15 || Property ID: 109263 || Base property ID: 109263 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.9667 || y coordinate: -37.81674 || Location: (-37.81674246, 144.966704) || 
Vacant --> Census year: 2018 || Block ID: 85 || Property ID: 105746 || Base property ID: 105746 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96276 || y coordinate: -37.8109 || Location: (-37.81090175, 144.9627564) || 
Vacant --> Census year: 2018 || Block ID: 35 || Property ID: 102145 || Base property ID: 102145 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96541 || y coordinate: -37.81548 || Location: (-37.81548376, 144.9654066) || 
